age,duration,campaign,pdays,previous,emp_var_rate,cons_price_ind,cons_conf_ind,euribor,nr_employee
30,487,2,999,6,-3,92,-46,4,5099
39,346,4,999,6,3,93,-36,4,5191
25,227,6,999,6,3,94,-41,4,5228
38,17,3,999,6,3,94,-41,4,5228
47,58,6,999,6,2,93,-42,4,5195
32,128,3,999,2,-3,94,-37,5,4963
32,290,4,999,6,-3,94,-37,5,4963
41,44,2,999,6,2,93,-42,4,5195
31,68,6,999,8,2,93,-42,4,5195
35,170,6,999,6,3,93,-36,4,5191
25,301,6,999,6,3,93,-42,4,5228
36,148,6,999,6,3,93,-42,4,5228
36,97,2,999,6,3,93,-36,4,5191
47,211,2,999,6,3,94,-41,4,5228
29,553,2,999,6,-3,92,-46,4,5099
27,698,2,999,6,3,93,-42,4,5228
44,191,6,999,6,3,93,-42,4,5228
46,59,4,999,6,3,93,-42,4,5228
45,38,2,999,6,3,93,-36,4,5228
50,849,6,999,6,3,93,-42,4,5228
55,326,6,999,6,3,93,-42,4,5228
39,222,6,12,2,-3,93,-34,5,5008
29,626,3,999,6,3,93,-36,4,5228
40,119,6,999,6,3,93,-36,4,5228
44,388,7,999,6,3,93,-36,4,5191
38,479,6,999,6,3,93,-36,4,5228
36,446,6,999,6,3,93,-36,4,5191
28,68,2,999,8,-3,92,-46,4,5099
47,127,6,999,6,3,93,-36,4,5191
34,109,6,999,6,3,93,-36,4,5228
38,113,6,999,8,-3,92,-50,4,5099
33,393,3,999,6,3,94,-41,4,5228
51,151,2,999,6,-2,92,-40,4,5076
30,256,6,999,6,3,94,-41,4,5228
48,42,7,999,6,3,93,-36,4,5228
28,525,6,999,6,3,94,-41,4,5228
36,57,6,999,6,3,93,-36,4,5191
46,499,6,999,6,2,93,-42,4,5195
31,84,6,999,8,-3,92,-46,4,5099
20,137,3,999,3,-3,94,-49,5,4963
35,31,6,999,6,-3,92,-46,4,5099
38,430,6,999,6,3,94,-41,4,5228
76,126,6,999,8,-3,94,-38,5,4991
45,211,3,999,6,3,93,-42,4,5228
32,340,6,999,6,-3,92,-46,4,5099
39,412,2,999,6,-3,92,-46,4,5099
32,132,6,999,6,2,93,-42,4,5195
29,79,2,999,6,-3,92,-46,4,5099
44,341,2,999,6,3,93,-36,4,5228
32,157,3,999,6,3,93,-42,4,5228
56,252,6,999,2,-2,92,-40,4,5076
33,263,6,999,6,-3,92,-46,4,5099
39,215,3,999,6,3,93,-36,4,5228
24,89,2,3,8,-3,92,-29,5,5017
33,143,6,999,6,-3,92,-46,4,5099
58,40,2,999,6,3,94,-41,4,5228
29,10,27,999,6,3,94,-41,4,5228
31,113,6,999,6,3,93,-36,4,5228
27,191,5,999,6,3,93,-36,4,5191
60,481,6,999,8,-3,94,-37,5,4963
55,233,6,999,2,-3,92,-26,5,5017
37,204,2,999,6,-3,92,-46,4,5099
52,403,6,6,8,-3,93,-34,5,5008
46,180,6,999,6,-3,93,-47,4,5099
42,16,2,999,6,-3,92,-46,4,5099
35,447,3,999,6,3,93,-42,4,5228
49,81,6,999,6,-3,92,-26,5,5017
29,361,3,999,6,3,94,-41,4,5228
32,1091,2,5,8,2,93,-42,4,5195
37,395,6,999,8,-3,92,-46,4,5099
39,432,4,999,6,3,94,-41,4,5228
51,596,3,999,6,3,93,-42,4,5228
28,59,3,999,6,-3,92,-46,4,5099
34,77,4,999,6,-3,92,-46,4,5099
31,768,6,999,6,3,93,-36,4,5228
31,96,5,999,6,3,93,-36,4,5228
